site,year,month,day_frac_T1,day_frac_T2,day_frac_T3,day_frac_moist,T1_mean,T1_absmax,T1_absmin,T1_meanmax,T1_meanmin,T2_mean,T2_absmax,T2_absmin,T2_meanmax,T2_meanmin,T3_mean,T3_absmax,T3_absmin,T3_meanmax,T3_meanmin,moist_sd,moist_cv,moist_med,moist_mean,moist_absmax,moist_absmin,T1_TDD,T1_GDD3,T1_GDD5,T1_FDD,T1_TDD_days,T1_GDD3_days,T1_GDD5_days,T1_FDD_days,T2_TDD,T2_GDD3,T2_GDD5,T2_FDD,T2_TDD_days,T2_GDD3_days,T2_GDD5_days,T2_FDD_days,T3_TDD,T3_GDD3,T3_GDD5,T3_FDD,T3_TDD_days,T3_GDD3_days,T3_GDD5_days,T3_FDD_days
2,2019,9,1,1,1,1,9.36,15.36,4.11,10.28,8.44,8.74,21.13,-0.12,11.93,5.94,8.47,22.5,-1.44,12.32,5.11,1.93,0.4,5.1,4.8,20.3,0.9,280.87,280.87,280.87,0,30,30,30,0,262.18,259.63,241.7,0,30,29,24,0,254.14,243.73,232.47,0,30,26,23,0
2,2019,10,1,1,1,1,4.72,9.05,1.86,5.35,4.12,2.95,10.19,-3.5,4.38,1.51,2.6,10.81,-5.94,4.43,0.76,4.79,0.41,9.1,11.7,22.8,4,146.3,136.95,76.43,0,31,27,12,0,95.53,70.56,49.55,-4.06,28,12,7,3,88.39,70.04,55.07,-7.71,25,12,8,6
2,2019,11,1,1,1,0.5666666666666667,1.37,4.61,-2.51,1.64,1.1,-0.59,5.13,-9.87,0.43,-1.63,-1.1,7.25,-11.81,0.43,-2.75,5.07,0.26,20.8,19.6,27.3,11.7,45.55,15.46,0,-4.56,26,4,0,4,19.02,12.09,0,-36.71,9,3,0,21,20.73,12.16,0,-53.78,12,3,0,18
2,2019,12,1,1,1,0.4838709677419355,1.02,1.49,0.24,1.09,0.95,-0.69,1.5,-7.37,-0,-1.43,-1.23,3,-11.75,0.08,-2.58,1.95,0.07,26.4,26.3,30,20.6,31.51,0,0,0,31,0,0,0,4.27,0,0,-25.61,9,0,0,22,7.18,0,0,-45.23,9,0,0,22
2,2020,1,1,1,1,0.25806451612903225,1.08,2.93,0.43,1.22,0.97,-0.03,5.13,-4,1.02,-1.03,-0.29,5.81,-6.25,1.28,-1.91,1,0.05,21.7,21.9,23.6,20.3,33.57,0,0,0,31,0,0,0,18.81,0,0,-19.75,13,0,0,18,22.92,0,0,-31.9,13,0,0,18
2,2020,2,1,1,1,0,0.28,0.74,-2.82,0.38,0.17,-1.35,3.13,-10.62,-0.13,-2.51,-2.18,4.81,-13.5,0.1,-4.38,NA,NA,NA,NA,NA,NA,10.95,0,0,-2.83,26,0,0,3,5.93,0,0,-45.15,8,0,0,21,11.42,0,0,-74.74,10,0,0,19
2,2020,3,1,1,1,0,0.01,0.36,-1.39,0.05,-0.03,-0.39,8.88,-6.68,1.71,-2.34,-0.53,9.88,-9.88,2.5,-3.61,NA,NA,NA,NA,NA,NA,3.81,0,0,-3.52,19,0,0,12,16.05,3.34,0,-28.19,12,1,0,19,24.21,11.95,0,-40.7,12,3,0,19
2,2020,4,1,1,1,0.5,1.54,5.18,0.24,2,1.14,1.59,11.75,-3.68,4.98,-1.19,1.67,13.88,-5.75,6.29,-2.22,2.04,0.12,17.4,17.4,20.5,14.6,46.3,18.09,0,0,30,5,0,0,51.33,33.72,11.05,-3.48,23,8,2,7,55.07,41,11.91,-5.12,22,9,2,8
2,2020,5,1,1,1,0.967741935483871,4.94,10.05,0.99,6.08,3.75,6.76,20.75,-2.12,12.16,1.79,6.97,21.88,-3.56,13.07,0.94,1.77,0.16,11.6,11.3,14.3,7.9,153.04,139.83,73.16,0,31,26,10,0,209.42,195.37,174.2,0,31,25,20,0,216.04,206.02,182,0,31,26,20,0
2,2020,6,1,1,1,1,11.69,16.18,7.05,12.89,10.33,16.26,29.13,6.13,21.53,11.23,16.87,30.88,5.44,22.84,10.9,1.94,0.23,8,8.6,23.1,5.6,350.77,350.77,350.77,0,30,30,30,0,487.86,487.86,487.86,0,30,30,30,0,506.15,506.15,506.15,0,30,30,30,0
2,2020,7,1,1,1,1,11.76,15.43,9.24,12.7,10.73,13.55,23.94,6.88,17.1,10.12,13.7,25,6.06,18.18,9.54,4.73,0.39,11.4,12.3,29,6.6,364.53,364.53,364.53,0,31,31,31,0,420.07,420.07,420.07,0,31,31,31,0,424.79,424.79,424.79,0,31,31,31,0
2,2020,8,1,1,1,1,12.15,16.49,7.8,13.35,10.75,14.01,25.63,4.38,18.55,9.5,14.08,27.12,3.44,19.49,8.8,2.23,0.45,4.6,5,11.5,2,376.8,376.8,376.8,0,31,31,31,0,434.27,434.27,434.27,0,31,31,31,0,436.35,436.35,436.35,0,31,31,31,0
2,2020,9,1,1,1,1,9.98,12.74,6.74,10.94,9.05,10.56,17.19,3.57,13.88,7.59,10.49,18.62,2.62,14.38,6.99,3.13,0.56,5.2,5.6,17.1,1.6,299.42,299.42,299.42,0,30,30,30,0,316.72,316.72,316.72,0,30,30,30,0,314.6,314.6,314.6,0,30,30,30,0
2,2020,10,1,1,1,1,6.99,11.11,2.61,7.56,6.32,6.04,14.19,-1.31,7.91,4.04,5.75,15.25,-3,8.12,3.29,6.52,0.58,9.4,11.3,27.1,3.3,216.7,213.76,190.46,0,31,30,24,0,187.35,180.53,168.91,-0.2,30,23,20,1,180.38,176.6,161.64,-2.05,27,23,19,4
2,2020,11,1,1,1,1,4.88,8.24,1.93,5.23,4.49,2.86,10.88,-1.87,4.23,1.67,2.4,11.5,-4.31,4.27,0.78,6.28,0.24,27.8,26.4,40.5,17.5,146.53,140.65,75.44,0,30,28,12,0,88.16,67.61,55.63,-2.4,22,12,9,8,81.66,63.48,50,-9.62,20,11,8,10
2,2020,12,1,1,1,1,2.15,3.36,1.11,2.28,2,-0.39,4,-3.75,0.27,-0.98,-1.02,4.5,-6.12,0.04,-2.01,4.5,0.16,28.9,28,36.2,17,66.55,9.32,0,0,31,3,0,0,12.19,0,0,-24.24,10,0,0,21,11.51,0,0,-43,10,0,0,21
2,2021,1,1,1,1,0.16129032258064516,0.36,1.86,-0.76,0.44,0.27,-2.52,-0.06,-9.37,-1.92,-3.21,-5.44,-0.19,-24.62,-3.9,-7.18,3.34,0.15,23.1,22.9,27.5,17,15.74,0,0,-4.68,16,0,0,15,0,0,0,-78.12,0,0,0,31,0,0,0,-168.64,0,0,0,31
2,2021,2,1,1,1,0,0.02,0.99,-0.7,0.07,-0.03,-1.8,-0.12,-4.81,-1.51,-2.03,-4.3,-0.19,-10.75,-3.52,-4.99,NA,NA,NA,NA,NA,NA,5.52,0,0,-4.87,11,0,0,17,0,0,0,-50.5,0,0,0,28,0,0,0,-120.43,0,0,0,28
2,2021,3,1,1,1,0,0.47,0.61,0.11,0.48,0.44,-0.4,2,-1.5,-0.22,-0.51,-1.08,5.31,-4.5,-0.39,-1.58,NA,NA,NA,NA,NA,NA,14.51,0,0,0,31,0,0,0,0.52,0,0,-12.95,2,0,0,29,4.51,0,0,-38.12,3,0,0,28
2,2021,4,1,1,1,0.6,1.69,3.86,0.49,1.98,1.42,1.7,10.75,-2,4.87,-0.5,1.74,12.75,-3.88,6.08,-1.45,2.4,0.12,18.3,19.5,25.4,17.1,50.67,12.88,0,0,30,4,0,0,52.03,28.78,0,-1.14,27,7,0,3,54.21,33.14,5.16,-1.95,27,8,1,3
